event_family,occurrences,avg_same_day_abs_return_pct,avg_next_day_abs_return_pct,avg_gold_move_score,max_same_day_abs_return_pct,max_next_day_abs_return_pct
Gann 270-Day Cycle from Winter Solstice,26,1.0392574875001168,0.6892500504015738,1.1301780055511055,10.989717223650386,4.091085995985977
Gann 315-Day Turn,27,0.6716434056808129,0.849904883495482,1.1270728067972555,4.1558221714382615,4.150606966607839
Gann Square-of-9 (6²=36 days from Jan 1),27,0.7928715898894486,0.6466625843173923,1.1196376910497652,4.7337278106508895,3.4998241294407317
Gann Square-of-9 (1²=1 days from Jan 1),27,0.6432315821938522,1.0518183661318483,1.1062099069506948,3.0536186583313363,3.35076505907419
Gann Square-of-9 (9²=81 days from Jan 1),27,0.8219144780815018,0.6671417255651696,1.1030045952938308,4.501453138998757,2.2331730769230673
Gann Square-of-9 (7²=49 days from Jan 1),27,0.4817981543786426,1.0712124399742609,1.0928593071372283,2.4083075563411382,3.179854254646941
Gann 45-Day Cycle from Summer Solstice,27,0.5857246779677885,1.0530646974486464,1.0925262502776232,2.1533618761323536,3.1697415201306978
Gann Square-of-9 (17²=289 days from Jan 1),27,0.8177452225580402,0.6406000133716699,1.0802557303183038,4.9557522123893865,2.8181253879577928
Jupiter Station Retrograde,25,0.590658225146713,0.6929606316261071,1.0782398396891688,2.6561747948824266,2.27722278552549
Gann 60-Day Cycle from Autumn Equinox,27,0.7483293298846824,0.7774175468163443,1.0736737280488706,7.38255033557047,2.6250000000000107
Gann 210-Day Cycle from Spring Equinox,27,0.7605025379343997,0.7648687384871771,1.0734094167411097,4.9557522123893865,2.937965879674387
Gann 360-Day Cycle from Winter Solstice,26,0.6872013600584376,0.7026004939636049,1.069078349247725,2.4025818790341935,3.563769950080853
Gann 144-Day Cycle from Summer Solstice,27,1.0823087425665845,0.5193703185812656,1.0677860407652333,4.593554593554594,2.8704209950792814
Gann Square-of-9 (11²=121 days from Jan 1),27,0.7943975952264909,0.6399678699263228,1.0624929371502323,2.794570548648345,2.890473104342184
Gann 120-Day Cycle from Autumn Equinox,26,0.780729020665045,0.6656495844651801,1.0569689806720874,2.5155725922376693,3.1608197290725837
Gann Square-of-9 (18²=324 days from Jan 1),27,0.6041228655619785,0.8134255218218728,1.0500358425065566,2.6932002784868736,7.38255033557047
Gann 90-Day Cycle from Summer Solstice,27,0.6220736299103685,0.8698274967844681,1.049856348414885,2.5566729163115753,2.960273481249398
Gann 120-Day Cycle from Summer Solstice,27,0.8454296445164395,0.641097864670836,1.0460749138725272,2.66920040929689,1.4382845188284477
Akshaya Tritiya,27,0.5958225724842442,0.8554142383392973,1.043308221412279,1.9948789571694658,1.6937435188385752
Gann 144-Day Cycle from Winter Solstice,26,0.5696866846667352,0.9265437174627227,1.0358518168588553,2.233244512273924,2.293835405033817
Gann 30-Day Cycle from Winter Solstice,26,0.8457563663909613,0.6415327949835589,1.0296617271054371,2.5155725922376693,3.1608197290725837
Gann 7-Day Cycle from Autumn Equinox,27,0.6224206115347667,1.0054238236051463,1.024939088791797,3.1784005468216137,3.8423318979794674
Nakshatra: Hasta,361,0.7302004029433675,0.6954462235066892,1.0228323441843896,4.344076344751291,7.38255033557047
Gann 14-Day Cycle from Autumn Equinox,27,0.9384839521410303,0.7825828918901184,1.0198914631295697,2.789416975936798,3.424178895877006
Jupiter ingress,34,0.7399319081532023,0.5897868620197341,1.0168437654263631,3.9593884787901046,2.168083528270681
Moon Returns,443,0.7512562752390533,0.7455972785425923,1.0136705781817013,5.796568627450971,5.482825664290337
Mercury ingress,396,0.7127043106163294,0.6778417796853158,1.0113062474921055,5.549404926653745,3.8528836586955606
Mars Station Retrograde,12,0.8589704450846313,0.870044996032125,1.0085923406514412,3.0288106377739488,2.657220904751889
Gann 14-Day Cycle from Winter Solstice,26,0.8774865983096561,0.49994641154812275,1.006585661049915,2.630147404445893,1.6679160419790007
Nakshatra: Purva Bhadrapada,361,0.7273019010025739,0.6918428096084166,1.0063740884111179,6.944140197152238,3.8528836586955606
Nakshatra: Purva Phalguni,361,0.787330442833819,0.637186620761137,1.0062378150047475,15.508049284020032,4.099694811800603
Nakshatra: Dhanishta,361,0.7366554600852664,0.6890976453185965,1.0012526070007275,5.796568627450971,3.6614730878187007
Gann Pressure Point (3 cycles align),67,0.7178651918160834,0.7334773099909766,0.9964441057182801,2.4083075563411382,3.009166107757655
Gann 30-Day Cycle from Spring Equinox,27,0.6615617790262195,0.7539926522587784,0.9961308960894429,2.865421764327092,4.037558685446008
Gann 14-Day Cycle from Spring Equinox,27,0.5603064564454123,0.8534261474720508,0.9948488694234,1.9372798206973019,2.6298198923067506
Mercury Station Direct,85,0.7360436416134772,0.6966565228116299,0.9944624670715451,3.5564109793921883,4.9557522123893865
Gann 30-Day Cycle from Autumn Equinox,27,0.8078767181982978,0.5130846848250931,0.9784899281654746,5.482825664290337,1.2092505484191274
Gann Summer Solstice,27,0.5845303478912572,0.7351566504627455,0.9775459247066687,2.0000000000000018,2.452238025257192
Gann 21-Day Cycle from Spring Equinox,27,0.7482984067595002,0.6735338146247192,0.975602903395387,3.004106682929031,1.9569249761446805
Nakshatra: Shatabhisha,361,0.6588439463927117,0.7235631641141856,0.9726631747056841,3.5488097837955923,6.944140197152238
Nakshatra: Shravana,361,0.6782586021721158,0.672221347585447,0.9726448391605717,6.405163853028806,5.549404926653745
First Quarter,334,0.6870965570495525,0.6867076781302867,0.9707119745582096,3.424178895877006,7.248327461303994
Gann 90-Day Cycle from Spring Equinox,27,0.6497434788412768,0.7284846282726964,0.969864223524648,1.7285861713106199,3.3042130477666687
Nakshatra: Revati,361,0.6469283468650953,0.7053559707643171,0.9664525040121563,4.091085995985977,4.401953579318363
Gann Square-of-9 (15²=225 days from Jan 1),27,0.6094696084597634,0.6903676387359908,0.9628424053301883,1.8242327129298852,2.4331194770608966
Moon opposition,3149,0.6868068759658381,0.6710975461659714,0.961833492610321,10.989717223650386,5.039109795706576
Lunar Eclipse,44,0.7381885913763704,0.4703764203166332,0.9613585320285256,4.344076344751291,2.217586823427431
Jupiter Station Direct,24,0.5846946540856309,0.6252552730502269,0.9578770256492207,1.9948789571694658,3.242703916188572
Gann 210-Day Cycle from Winter Solstice,26,0.5664662324338511,0.7419203519389698,0.9561286578109076,1.8556701030927991,3.0708084121165324
Sun ingress,324,0.6732273768211928,0.6906548478280832,0.9555594598623013,7.38255033557047,4.501453138998757
Nakshatra: Uttara Phalguni,361,0.6466148098191977,0.7220513669505583,0.9554124004043726,4.5434750308687715,4.344076344751291
Gann Square-of-9 (10²=100 days from Jan 1),27,0.6193593875659653,0.7370766626496174,0.9545290723739285,1.9569249761446805,5.039109795706576
Nakshatra: Magha,361,0.6335261275914496,0.7269448938699584,0.9534603003593801,4.952588931670587,5.482825664290337
Nakshatra: Chitra,361,0.7055318253926767,0.6124470017655956,0.9492368284242405,7.38255033557047,5.569635409391161
Nakshatra: Vishakha,361,0.624001478928127,0.7122542343503888,0.9475940792224378,4.7337278106508895,5.3219134371255254
Moon trine,6297,0.6707005018861508,0.6658820715184709,0.9474096753385283,10.989717223650386,15.508049284020032
Nakshatra: Pushya,361,0.6590116750375463,0.6844557517401526,0.9471611693996556,9.943894876716364,3.8737992712818747
Full Moon,290,0.6832094181561928,0.6690002267991733,0.9465467514687563,3.5744441317196785,3.1257377591009883
Gann 60-Day Cycle from Spring Equinox,27,0.861027122423195,0.5565832740081409,0.9450735976208906,4.0163575288447495,1.843275172439407
Gann 7-Day Cycle from Summer Solstice,27,0.5506414715236047,0.7247725662678034,0.9447511391047466,2.8801373001524633,3.313201035375335
Moon square,6298,0.647900695381216,0.6732994760625076,0.9366717633369682,15.508049284020032,15.508049284020032
Venus ingress,341,0.6796089627424569,0.632280977804577,0.9348658520613762,9.062084690993233,4.211670252167954
Nakshatra: Ashwini,361,0.7043197577146333,0.6086884994078509,0.9347454905276412,4.698561572800641,3.523434939364145
Nakshatra: Punarvasu,361,0.6309344980112925,0.6784330379192042,0.9339013607538752,9.062084690993233,9.943894876716364
New Moon,267,0.7036854237497902,0.6106545172910333,0.9303754638828301,5.3219134371255254,5.796568627450971
Nakshatra: Anuradha,360,0.6949359275006165,0.6475850862739961,0.9285770345274402,5.3219134371255254,4.930312428295435
Nakshatra: Mrigashira,361,0.6405070753674302,0.6988292663432206,0.9275182421818912,4.9557522123893865,15.508049284020032
Gann Square-of-9 (16²=256 days from Jan 1),27,0.6785380021123218,0.6390860551868567,0.9272169292105331,2.4927929455655473,1.9324126879389114
Moon ingress,4331,0.6490883978935644,0.6642598392992565,0.9256529853963955,7.248327461303994,15.508049284020032
Gann 360-Day Cycle from Summer Solstice,26,0.605966731145293,0.8091298340211932,0.9252554464550102,1.5876721923885118,2.618767113707643
Moon conjunction,3151,0.6536559190754713,0.6524597965669714,0.9245606174799157,7.38255033557047,6.405163853028806
Nakshatra: Ashlesha,361,0.63866613505422,0.6531556442250225,0.9196625963289897,3.8737992712818747,4.952588931670587
Last Quarter,334,0.6810314105638074,0.6231338225515177,0.9196403029720516,5.6736749177603185,5.482825664290337
Nakshatra: Bharani,361,0.6159934988266247,0.6542378236245705,0.9183666901932463,2.960273481249398,10.989717223650386
Moon Out-of-Bounds,443,0.6459328054750328,0.6893448773095275,0.9177660234130505,4.9557522123893865,15.508049284020032
Mercury Station Retrograde,85,0.6260638378077565,0.6486061338428775,0.9147631561257491,3.9593884787901046,2.5414602627611527
Moon sextile,6298,0.6554285593659022,0.6404818412008926,0.9138064521491427,10.989717223650386,15.508049284020032
Gann 180-Day Cycle from Summer Solstice,27,0.5250338334577274,0.7719511628685063,0.9126931455629053,1.4298863563871,2.308418984280536
Moon Perigee,358,0.6893835485601342,0.586768849709015,0.912555904907548,7.248327461303994,9.943894876716364
Nakshatra: Rohini,361,0.5875072115747456,0.694226421855522,0.9124807307245948,4.9557522123893865,7.248327461303994
Gann 210-Day Cycle from Autumn Equinox,26,0.7843831775482215,0.6080190781939175,0.9104168595237063,4.037558685446008,3.31050228310501
Gann 7-Day Cycle from Spring Equinox,27,0.5794056914726692,0.7129310338797175,0.9094221400627907,1.2687634024303174,1.885997260562633
Moon Apogee,358,0.6745953672728996,0.6106437407376689,0.9046934503314616,9.062084690993233,4.593554593554594
Nakshatra: Swati,361,0.6431361106432621,0.6358159205772312,0.9034148696986865,5.569635409391161,4.7337278106508895
Gann 120-Day Cycle from Winter Solstice,26,0.7706990120609374,0.608351283681467,0.9016867318315722,4.037558685446008,3.31050228310501
Nakshatra: Jyeshtha,361,0.6953099748431071,0.5739521330704332,0.9000861485481062,4.930312428295435,4.8585830299636035
Gann 90-Day Cycle from Winter Solstice,26,0.6354660501062172,0.5949495385673851,0.8991498532614786,1.926070432216076,1.8724457275692719
Nakshatra: Uttara Bhadrapada,361,0.6269857726636071,0.6460260445571664,0.895692525135946,3.5205654802637376,4.091085995985977
Gann 60-Day Cycle from Summer Solstice,27,0.7491809543259611,0.5214796130552477,0.8941685474164062,3.7238665081759215,1.3707662040729485
Nakshatra: Uttara Ashadha,361,0.5576509479543312,0.7164721026580716,0.8929449634485817,4.8585830299636035,6.405163853028806
Gann 180-Day Cycle from Autumn Equinox,26,0.5902918822802151,0.6298265476977726,0.8916250065223755,1.8231540565177728,1.8724457275692719
Nakshatra: Krittika,361,0.6820625489162595,0.5895019948698276,0.8911518824872022,10.989717223650386,4.9557522123893865
Mars ingress,183,0.6253671392129145,0.7499805456575757,0.8868362121022833,2.3961502295480996,4.344076344751291
Solar Eclipse,67,0.6030745351315356,0.6563632902011716,0.8834862356811529,2.4751580849141863,2.6715557883708607
Gann 21-Day Cycle from Summer Solstice,27,0.673404708590834,0.5175726942331893,0.8822054835733506,1.857240454441933,2.091664103352797
Gann 315-Day Cycle from Winter Solstice,26,0.6271113906015512,0.5751474052114361,0.8785737354017985,2.2704211060375457,2.1324760643418483
Gann 14-Day Cycle from Summer Solstice,27,0.649184371833645,0.585116777659818,0.8685822903842886,2.3961502295480996,1.4838079877764088
Nakshatra: Ardra,361,0.6399721470381713,0.5861779209926364,0.8661170840660829,4.915781508365802,3.5402989796725515
Gann 120-Day Cycle from Spring Equinox,27,0.5703072599548638,0.6477044653575482,0.8571193622568826,1.8829754123871778,1.8556701030927991
Gann 144-Day Cycle from Autumn Equinox,26,0.5637647367329167,0.5831017374263077,0.8380947311163562,2.298523249664375,1.5914340965695883
Nakshatra: Purva Ashadha,361,0.5954760352333236,0.567038723752754,0.8243871975081326,4.593554593554594,3.0708084121165324
Venus–Jupiter opposition,24,0.5235155032945443,0.712330199146808,0.8238971349609016,2.1853275417455076,3.009166107757655
Saturn ingress,21,0.6748953525939614,0.4039524200838293,0.8219792553735549,1.8621448248338002,1.7385007434923772
Gann 30-Day Cycle from Summer Solstice,27,0.6576151051260175,0.49893068431451415,0.8138655555322261,1.495386573337576,1.3355638588825824
Gann 360-Day Cycle from Spring Equinox,26,0.7415731414992743,0.4329515417739269,0.8131324730352932,1.7625935817694005,1.5287485907553577
Gann 210-Day Cycle from Summer Solstice,26,0.5343194363051051,0.5167420687125879,0.8085088500136101,3.0610995469572577,2.1111512089498463
Gann 45-Day Cycle from Spring Equinox,27,0.7711801782247044,0.4788869043294743,0.8048158262129819,2.364457831325306,2.765499861461118
Gann 21-Day Cycle from Winter Solstice,26,0.5817100201165197,0.5066554564615998,0.7953440021147796,2.452984464431718,1.8589882997694707
Nakshatra: Mula,361,0.5317803730419617,0.5902274418719092,0.7848648110807961,3.5143186266009208,5.796568627450971
Gann Square-of-9 (19²=361 days from Jan 1),27,0.7300185768130062,0.37378905357580505,0.7767535176810154,2.3389683680579476,0.9952268810509812
Gann Square-of-9 (14²=196 days from Jan 1),27,0.39010669137651466,0.7659520496044939,0.7707058273206724,1.2706638080180022,1.918067235563914
Saturn Station Direct,27,0.5645344607710104,0.654767082558697,0.7677083791335195,1.4987742768955536,1.9494257898804657
Gann 21-Day Cycle from Autumn Equinox,27,0.7421470460159781,0.45537035134302534,0.7539924353741874,2.1186440677966156,0.916839871671371
Gann 135-Day Turn,27,0.4604787937898273,0.5970690349544187,0.7442003239311361,1.8300582661249232,1.9949659737112047
Gann Square-of-9 (3²=9 days from Jan 1),27,0.5742519792473427,0.3987106574013821,0.7207130641842406,1.8101092896174897,1.143911439114409
Venus Station Direct,17,0.5426100050670417,0.5601695883292321,0.7135632663152359,2.126063031515757,1.8750359919378123
Gann 7-Day Cycle from Winter Solstice,27,0.4498526096624448,0.5619886272776554,0.7120364259948853,1.8536777755866707,1.6918565305662048
Mars Station Direct,12,0.5414384524510013,0.5163781809365164,0.7052110889250119,1.1840967250095868,1.280218924209675
Gann 315-Day Cycle from Autumn Equinox,26,0.41809859138616823,0.6259162345531908,0.6826250784988116,1.065801668211308,2.1533618761323536
Gann Square-of-9 (4²=16 days from Jan 1),27,0.4292037464642428,0.4450276586678198,0.6475788186163427,1.2167787383925655,2.1111512089498463
Gann Pressure Point (5 cycles align),13,0.4045582177789436,0.5194468981853594,0.6396958495137481,1.3150436458451376,1.400742806061639
Gann Square-of-9 (12²=144 days from Jan 1),27,0.44128232158945985,0.4581556544190276,0.6329378349689356,1.7854283426741335,1.6054038373875867
Gann 90-Day Cycle from Autumn Equinox,27,0.4318387945134815,0.4629110114858816,0.6296387523699222,1.8940142680012206,1.9623710297390184
Gann Winter Solstice,27,0.31076336586670406,0.5407132866438825,0.5991872739889312,1.8940142680012206,1.9623710297390184
Saturn Station Retrograde,26,0.4630779128354745,0.49998013414046943,0.5926511058313502,1.637554585152834,2.377660839576645
Venus Station Retrograde,17,0.37534629345522297,0.6892682452134294,0.56361946164811,0.8038502563838978,1.9816748348604363
Uranus ingress,12,0.39008291894802316,0.20848584028093226,0.39904583948597033,1.702801702801715,1.0395184883219
